year,regime,facility,parent,sector,covered_t,baseline_t,headroom_t,accus_surrendered,smcs_surrendered,smcs_issued,above_baseline
2019,original,CSBP Kwinana Facility,Other,Other manufacturing,800136.0,1319204.0,519068.0,0.0,0.0,0.0,False
2019,original,DBNGP,Other,Transport,269997.0,360901.0,90904.0,0.0,0.0,0.0,False
2019,original,Dongara Operations,Other,Other manufacturing,107932.0,,,0.0,0.0,0.0,False
2019,original,Facility WA CTC,Other,Other,103388.0,,,0.0,0.0,0.0,False
2019,original,Fimiston,Other,Other,137956.0,238394.0,100438.0,0.0,0.0,0.0,False
2019,original,Fortescue Rail,Other,Other,237434.0,271761.0,34327.0,0.0,0.0,0.0,False
2019,original,Goldfields Gas Transmission Pipeline,Other,Transport,113174.0,,,0.0,0.0,0.0,False
2019,original,Gorgon Operations,Chevron,LNG / oil and gas,6263348.0,,,0.0,0.0,0.0,False
2019,original,Granny Smith Mine Site,Other,Metal ore mining,109243.0,117516.0,8273.0,152.0,0.0,0.0,False
2019,original,Gruyere Gold Mine,Other,Other,149110.0,243279.0,94169.0,0.0,0.0,0.0,False
2019,original,Hope Downs 1 Mine,Rio Tinto,Metal ore mining,158056.0,152296.0,-5760.0,5760.0,0.0,0.0,True
2019,original,Hope Downs 4 Mine,Rio Tinto,Metal ore mining,103695.0,100000.0,-3695.0,3695.0,0.0,0.0,True
2019,original,Jimblebar Mine,BHP,Metal ore mining,309973.0,,,0.0,0.0,0.0,False
2019,original,Jundee Gold Mine,Other,Metal ore mining,116035.0,173116.0,57081.0,0.0,0.0,0.0,False
2019,original,Kemerton Silicon Smelter,Other,Alumina and metals,107847.0,103809.0,-4038.0,4038.0,0.0,0.0,True
2019,original,Kwinana Alumina Refinery,Alcoa,Alumina and metals,1272256.0,1309104.0,36848.0,0.0,0.0,0.0,False
2019,original,Kwinana Pigment Plant,Other,Other manufacturing,315606.0,324572.0,8966.0,0.0,0.0,0.0,False
2019,original,Kwinana Refinery,Other,Other,663005.0,739256.0,76251.0,0.0,0.0,0.0,False
2019,original,Leinster Power Station,Other,Electricity,162075.0,173336.0,11261.0,0.0,0.0,0.0,False
2019,original,Marandoo Mine,Rio Tinto,Metal ore mining,143365.0,160856.0,17491.0,0.0,0.0,0.0,False
2019,original,Mt Keith Power Station,Other,Electricity,199198.0,233797.0,34599.0,0.0,0.0,0.0,False
2019,original,Mt Morgans Gold Project,Other,Other,104336.0,100000.0,-4336.0,4336.0,0.0,0.0,True
2019,original,Murrin Murrin Operations,Other,Metal ore mining,488332.0,568485.0,80153.0,0.0,0.0,0.0,False
2019,original,Newman Operations,BHP,Metal ore mining,352174.0,,,0.0,0.0,0.0,False
2019,original,Newman Power Station,Other,Electricity,187289.0,604378.0,417089.0,0.0,0.0,0.0,False
2019,original,Newmont Boddington Gold Operation,Other,Metal ore mining,227833.0,340447.0,112614.0,0.0,0.0,0.0,False
2019,original,Ningaloo Vision FPSO,Other,LNG / oil and gas,263388.0,547856.0,284468.0,0.0,0.0,0.0,False
2019,original,NKS01 Nickel West Kalgoorlie Facility,BHP,Alumina and metals,153723.0,166573.0,12850.0,0.0,0.0,0.0,False
2019,original,NKW01 Nickel West Kwinana Facility,BHP,Alumina and metals,156593.0,181233.0,24640.0,0.0,0.0,0.0,False
2019,original,NMK01 Nickel West Mt Keith Facility,BHP,Metal ore mining,122829.0,152368.0,29539.0,0.0,0.0,0.0,False
