station,station_name,water_year,total_ML,baseline_ML,anom_pct
616019,Brockman River - Yalliawirra,1975,41890.76452974497,45813.822759582574,-8.563044936076725
616019,Brockman River - Yalliawirra,1976,14787.176360726029,45813.822759582574,-67.72333005624793
616019,Brockman River - Yalliawirra,1977,8617.306533292533,45813.822759582574,-81.19059704204643
616019,Brockman River - Yalliawirra,1978,31319.10284812564,45813.822759582574,-31.638311405535724
616019,Brockman River - Yalliawirra,1979,13314.411645507727,45813.822759582574,-70.93800332843249
616019,Brockman River - Yalliawirra,1980,18629.445494274772,45813.822759582574,-59.3366273056134
616019,Brockman River - Yalliawirra,1981,101393.84833146955,45813.822759582574,121.31715326082819
616019,Brockman River - Yalliawirra,1982,29139.936378140246,45813.822759582574,-36.39488123255281
616019,Brockman River - Yalliawirra,1983,76255.79294809318,45813.822759582574,66.44712961033852
616019,Brockman River - Yalliawirra,1984,38297.58495818563,45813.822759582574,-16.406048106572424
616019,Brockman River - Yalliawirra,1985,12623.90738621179,45813.822759582574,-72.44519966723071
616019,Brockman River - Yalliawirra,1986,44762.42244593363,45813.822759582574,-2.294941243315096
616019,Brockman River - Yalliawirra,1987,44160.4776042741,45813.822759582574,-3.608834748378764
616019,Brockman River - Yalliawirra,1988,53961.88835099167,45813.822759582574,17.78516853781824
616019,Brockman River - Yalliawirra,1989,24904.204231971016,45813.822759582574,-45.64041432940243
616019,Brockman River - Yalliawirra,1990,26780.886291071147,45813.822759582574,-41.544091547196714
616019,Brockman River - Yalliawirra,1991,76278.25680036616,45813.822759582574,66.49616252424939
616019,Brockman River - Yalliawirra,1992,71457.42770174966,45813.822759582574,55.973510607785705
