site,season,days_vh,days_sev,ffdi_p99,ffdi_sum,season_span,n_days
margaret_river,2012,0,0,14.512279999999993,1174.5500000000002,0,212
margaret_river,2013,0,0,14.537509999999987,1314.476,0,212
margaret_river,2014,0,0,15.350609999999998,1105.487,0,212
margaret_river,2015,0,0,14.427879999999998,1083.75,0,213
margaret_river,2016,0,0,11.91021999999999,1032.284,0,212
margaret_river,2017,0,0,17.358239999999988,1048.798,0,212
margaret_river,2018,0,0,12.267919999999986,849.102,0,212
margaret_river,2019,0,0,16.01664,1179.855,0,213
margaret_river,2020,3,0,27.40804999999995,1151.1170000000002,9,212
margaret_river,2021,2,0,21.02940999999999,1205.569,23,212
margaret_river,2022,0,0,15.35090999999999,1126.723,0,212
margaret_river,2023,1,0,20.85052,1805.174,1,213
margaret_river,2024,0,0,14.89674999999999,1003.275,0,212
margaret_river,2025,1,0,13.684709999999999,1056.2160000000001,1,212
