sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
2013005S10126,2013,Narelle,83,327.51517759220457,105.0,930.0,120.0,933.0,4,105.0,930.0,2013-01-11 12:00:00,-18.0,112.7,True,2005-14
2013020S17124,2013,Peta,55,10.51370124616467,45.0,988.0,35.0,996.0,0,45.0,988.0,2013-01-23 03:00:00,-20.6,117.5,True,2005-14
2013052S13126,2013,Rusty,64,108.60002513123334,90.0,944.0,100.0,948.0,3,90.0,944.0,2013-02-26 21:00:00,-19.3,119.2,True,2005-14
2013324S11113,2014,Alessia,87,24.722096601317894,40.0,993.0,45.0,989.0,0,40.0,993.0,2013-11-22 06:00:00,-14.5,120.4,True,2005-14
2013360S12124,2014,Christine,55,47.71439181822243,90.0,948.0,100.0,948.0,3,90.0,948.0,2013-12-30 12:00:00,-20.4,117.7,True,2005-14
2014030S14129,2014,Fletcher,105,281.0406513640354,35.0,992.0,,,-5,35.0,992.0,2014-02-03 00:00:00,-17.3,140.1,True,2005-14
2014032S13123,2014,Unnamed,105,15.504870381064729,55.0,984.0,,,-5,55.0,984.0,2014-02-03 00:00:00,-14.9,129.5,True,2005-14
2014066S09138,2014,Gillian,175,463.56678447089826,120.0,927.0,140.0,918.0,5,120.0,927.0,2014-03-23 18:00:00,-15.4,103.6,True,2005-14
2015068S14113,2015,Olwyn,51,10.036304074993625,75.0,955.0,90.0,956.0,2,75.0,955.0,2015-03-12 18:00:00,-22.2,113.8,True,2015-24
2015068S12151,2015,Nathan,146,45.773355501683824,80.0,969.0,100.0,948.0,3,80.0,969.0,2015-03-19 12:00:00,-14.8,146.0,True,2015-24
2015117S12115,2015,Quang,45,16.159817017604226,100.0,950.0,120.0,933.0,4,100.0,950.0,2015-04-30 06:00:00,-17.8,109.9,True,2015-24
2015355S16136,2016,Unnamed,87,467.3476038113609,30.0,994.0,,,-5,30.0,994.0,2015-12-24 00:00:00,-12.6,131.7,True,2015-24
2016027S13119,2016,Stan,46,125.80545447420887,55.0,980.0,65.0,974.0,1,55.0,980.0,2016-01-30 06:00:00,-18.7,119.1,True,2015-24
2016353S11130,2017,Unnamed,39,222.8755723574121,30.0,994.0,,,-5,30.0,994.0,2016-12-20 18:00:00,-14.7,128.5,True,2015-24
2016354S15116,2017,Yvette,55,68.08956399115976,45.0,987.0,50.0,985.0,0,45.0,987.0,2016-12-21 00:00:00,-14.7,113.9,True,2015-24
2017025S16128,2017,Unnamed,73,54.13465120952934,45.0,986.0,50.0,985.0,0,45.0,986.0,2017-01-27 18:00:00,-19.5,116.5,True,2015-24
2017060S09139,2017,Blanche,47,160.38207590329282,55.0,984.0,55.0,982.0,0,55.0,984.0,2017-03-06 00:00:00,-14.0,128.2,True,2015-24
2017079S13122,2017,Unnamed,36,11.525145442121666,50.0,985.0,,,-5,50.0,985.0,2017-03-23 03:00:00,-20.0,118.4,True,2015-24
2017097S08134,2017,Unnamed,69,31.01291990993869,30.0,998.0,,,-5,30.0,998.0,2017-04-10 12:00:00,-10.3,132.2,True,2015-24
2017111S09146,2017,Frances,89,232.89609669145503,70.0,978.0,80.0,963.0,1,70.0,978.0,2017-04-28 12:00:00,-12.2,125.1,True,2015-24
2017360S15124,2018,Hilda,43,18.287847657257824,55.0,980.0,50.0,990.0,0,55.0,980.0,2017-12-27 09:00:00,-17.8,122.2,True,2015-24
2018007S13130,2018,Joyce,67,15.305152393045745,50.0,975.0,50.0,987.0,0,50.0,975.0,2018-01-11 12:00:00,-18.1,121.5,True,2015-24
2018044S10133,2018,Kelvin,69,22.239016046706258,80.0,955.0,75.0,971.0,1,80.0,955.0,2018-02-18 00:00:00,-19.3,121.6,True,2015-24
2018073S09129,2018,Marcus,89,30.93339416413399,135.0,905.0,150.0,906.0,5,135.0,905.0,2018-03-21 12:00:00,-15.0,109.6,True,2015-24
2019021S09128,2019,Riley,121,84.17983001653789,70.0,970.0,75.0,970.0,1,70.0,970.0,2019-01-27 06:00:00,-17.7,113.8,True,2015-24
2019077S13123,2019,Veronica,101,13.819454753367724,115.0,928.0,130.0,925.0,4,115.0,928.0,2019-03-21 00:00:00,-16.4,117.7,True,2015-24
2019093S07133,2019,Wallace,87,222.65452427869783,55.0,986.0,60.0,992.0,0,55.0,986.0,2019-04-08 06:00:00,-15.5,116.4,True,2015-24
