#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Murray River - Baden Powell (614006)"
#,"Catchment area:", 6772.9,"km^2"
#,"Location:", 116.0843,"degrees E", 32.7722,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",14/06/2024
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1965-10-11,2530.4832000031347,A
1965-10-12,1853.2799999994966,A
1965-10-13,1506.5567999991792,A
1965-10-14,1274.6592000027088,A
1965-10-15,1108.3391999977173,A
1965-10-16,990.3167999986404,A
1965-10-17,876.8735999998697,A
1965-10-18,788.5727999981806,A
1965-10-19,709.8624000025,A
1965-10-20,643.5935999996774,A
1965-10-21,595.55519999971,A
1965-10-22,688.0032000030824,A
1965-10-23,762.8255999976085,A
1965-10-24,690.1632000029714,A
1965-10-25,638.3232000002195,A
1965-10-26,632.6208000001063,A
1965-10-27,611.7119999996918,A
1965-10-28,564.3648000002307,A
1965-10-29,512.1791999999348,A
1965-10-30,520.1218960711857,G
1965-10-31,530.1727545262804,G
1965-11-01,543.7796286257761,G
1965-11-02,564.7968000002085,A
1965-11-03,572.4864000000839,A
1965-11-04,588.9888000003186,A
1965-11-05,638.409599999944,A
1965-11-06,646.8768000000506,A
1965-11-07,771.8976000025601,A
1965-11-08,880.1567999975338,A
1965-11-09,841.7087999981567,A
1965-11-10,796.9535999972077,A
1965-11-11,688.9536000027626,A
1965-11-12,602.2080000001805,A
1965-11-13,530.4096000000808,A
1965-11-14,517.4793810902139,G
1965-11-15,505.39070191776875,G
1965-11-16,494.0658919444684,G
1965-11-17,483.43488069547595,G
1965-11-18,473.43553092579657,G
1965-11-19,464.0096248974656,G
1965-11-20,455.10488283040286,G
1965-11-21,446.6726694657232,G
1965-11-22,438.67124360833577,G
1965-11-23,431.0642703219696,G
1965-11-24,423.81904611172445,G
1965-11-25,416.90606363249685,G
1965-11-26,410.2986399793595,G
1965-11-27,403.9725951549708,G
1965-11-28,397.9060690956173,G
1965-11-29,392.0792837582007,G
1965-11-30,386.4742726647955,G
1965-12-01,381.0784919311759,G
1965-12-02,375.886516772609,G
1965-12-03,370.8892039644131,G
1965-12-04,366.0766082086746,G
1965-12-05,361.37471268387776,G
1965-12-06,356.7946341219476,G
1965-12-07,352.3477168770776,G
1965-12-08,348.02524060414356,G
1965-12-09,343.81918283763736,G
1965-12-10,339.72215019254844,G
1965-12-11,335.72731765479796,G
1965-12-12,331.8283933350663,G
1965-12-13,328.01956735100885,G
1965-12-14,324.29546461133685,G
1965-12-15,320.6511065326787,G
1965-12-16,317.08187695563663,G
1965-12-17,313.58349121363153,G
1965-12-18,310.15196796982826,G
1965-12-19,306.7836037964113,G
1965-12-20,303.47495018262043,G
1965-12-21,300.22279271282514,G
1965-12-22,297.0241322365069,G
1965-12-23,293.87616775720556,G
1965-12-24,290.77628065369373,G
1965-12-25,287.7220207833407,G
1965-12-26,284.7110935959929,G
1965-12-27,281.7413482834307,G
1965-12-28,278.81076703822623,G
1965-12-29,275.9174552323616,G
1965-12-30,273.05963242281683,G
1965-12-31,270.2356241875171,G
1966-01-01,267.44385459860814,G
1966-01-02,264.6828392870074,G
1966-01-03,261.95117909755083,G
1966-01-04,259.24755424601204,G
1966-01-05,256.57071894345205,G
1966-01-06,253.91949643506936,G
1966-01-07,251.29277443594324,G
1966-01-08,248.68950091354844,G
1966-01-09,246.10868018453345,G
1966-01-10,243.5493693122143,G
1966-01-11,241.01067476482635,G
1966-01-12,238.4917493230176,G
1966-01-13,235.99178921084894,G
1966-01-14,233.51003143404358,G
1966-01-15,231.04575130584732,G
1966-01-16,228.59826014762882,G
1966-01-17,226.16690315135241,G
1966-01-18,223.75105738428164,G
1966-01-19,221.35012993930016,G
1966-01-20,218.9635561996952,G
1966-01-21,216.5907982265297,G
1966-01-22,214.2313432516721,G
1966-01-23,211.88470226767862,G
1966-01-24,209.55040871181893,G
1966-01-25,207.22801723476255,G
1966-01-26,204.91710254444533,G
